term_en,term_ja,category,canonical_definition_en,notes
object,対象,category-theory,A stable unit treated as a node in a categorical or design model,Required by TERMS.yml
morphism,射,category-theory,A structure respecting map between objects or modeled states,Required by TERMS.yml
composition,合成,category-theory,The operation that connects compatible morphisms into one path,Required by TERMS.yml
identity morphism,恒等射,category-theory,A morphism that leaves an object unchanged under composition,Required by TERMS.yml
diagram,図式,category-theory,A structured picture that states objects morphisms and their relations,Required by TERMS.yml
commutative,可換,category-theory,Describes a diagram where alternative paths preserve the same meaning,Required by TERMS.yml
functor,関手,category-theory,A map between categories that preserves objects morphisms and composition,Required by TERMS.yml
natural transformation,自然変換,category-theory,A coherent mapping between functors over the same source category,Required by TERMS.yml
naturality,自然性,category-theory,A consistency condition stating that corresponding paths preserve the same meaning under a change of view,Core Chapter 05 term
adjunction,随伴,category-theory,A paired relationship between functors that captures a best fit translation,Required by TERMS.yml
universal property,普遍性,category-theory,A definition that characterizes a construction by its unique mapping behavior,Required by TERMS.yml
product,積,category-theory,A construction that combines required components into one canonical object from which each component can be recovered,Core Chapter 06 term
coproduct,余積,category-theory,A construction that makes alternatives explicit by giving each variant a named entry into one shared boundary,Core Chapter 06 term
monoidal category,モノイダル圏,category-theory,A category equipped with a tensor like way to compose things in parallel,Required by TERMS.yml
string diagram,ストリング図式,category-theory,A graphical notation for sequential and parallel composition,Required by TERMS.yml
monad,モナド,category-theory,A structure that packages effectful computation behind explicit composition rules,Required by TERMS.yml
Kleisli,クライスリ,category-theory,A form of composition specialized for effectful computations,Required by TERMS.yml
category,圏,category-theory,A collection of objects and morphisms with associative composition and identities,Used throughout the formal chapters
pullback,引き戻し,category-theory,A construction for joining structures under a shared constraint,Central to Chapter 07
pushout,押し出し,category-theory,A construction for merging structures along a shared boundary,Central to Chapter 07
associativity,結合律,category-theory,A law stating that grouping does not change the result of composition,Supports modular reasoning
invariant,不変条件,formal-methods,A property that must remain true across transformations or execution steps,Used in reviews and verification
behavioral equivalence,振る舞い同値,formal-methods,A claim that two structures produce the same observable behavior,Important in refactoring review
formal specification,形式仕様,formal-methods,A precise statement of required behavior constraints and assumptions,Use before implementation
verification plan,検証計画,formal-methods,A documented method for checking that claims and constraints hold,Appears in the artifact set
acceptance evidence,受入れ証跡,formal-methods,The concrete records that justify acceptance of a deliverable,Use at review checkpoints
